U.S. Dept. of Education, Office of Educational Research and Improvement :	99
U.S. Dept. of Labor, Bureau of International Labor Affairs :	98
U.S. Dept. of State :	98
[U.S. G.P.O.] :	98
U.S. Dept. of Agriculture, Office of the Secretary,	98
E.I. du Pont de Nemours & Company, Savannah River Laboratory,	97
United States Atomic Energy Commission, Technical Information Service ;	97
[For sale by the Office of Technical Services, Dept. of Commerce, U.S. G.P.O.],	97
Northeastern Forest Experiment Station,	96
U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, National Marine Fisheries Service,	96
Open-File Services Section, Western Distribution Branch, U.S. Geological Survey [distributor],	95
For sale by Data User Services Division, Customer Services (Publications), Bureau of the Census,	95
Available from NTIS,	95
[For sale by the Supt. of Docs., U.S. Govt. Print. Off.],	95
For sale by the Supt. of Docs., U.S. Govt. Print. Off,	95
U.S. Dept. of the Interior, Fish and Wildlife Service :	94
Congressional Research Service, Library of Congress,	94
National Aeronautics and Space Administration; [for sale by the Clearinghouse for Federal Scientific and Technical Information, Springfield, Va.]	94
Dept. of Energy ;	94
National Center for Education Statistics,	94
Fish and Wildlife Service, U.S. Dept. of the Interior,	94
National Aeronautics and Space Administration ; [For sale by the Clearinghouse for Federal Scientific and Technical Information, Springfield, Virginia 22151],	93
U.S. Dept. of Education, Office of Educational Research and Improvement, National Center for Education Statistics,	93
For sale by U.S. Geological Survey, Information Services,	93
For sale by the Books and Open-File Reports Section, U.S. Geological Survey,	92
For sale by the U.S. G.P.O., Supt. of Docs., [Congressional Sales Office],	91
Idaho Operations Office, U.S. Atomic Energy Commission,	90
Ames Laboratory,	90
U.S. Dept. of Agriculture, Forest Service, Intermountain Region,	90
Open-File Services Section, Western Distribution Branch,	90
U.S. G.P.O., Supt. of Docs., Congressional Sales Office,	89
U.S. Dept. of Commerce, National Technical Information Service,	89
Rand,	89
[U.S. Govt. Print. Off.],	89
U.S. Geological Survey, Earth Science Information Center, Open-File Reports Section [distributor],	88
Foreign Agricultural Service, U.S. Dept. of Agriculture,	88
The Survey,	88
U.S. Dept. of Agriculture, Forest Service, Northeastern Research Station,	87
U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration,	87
For sale by Supt. of Docs., Congressional Sales Office, U.S. G.P.O.,	86
U.S. Dept. of State, Bureau of Public Affairs, Office of Public Communication :	86
Dept. of Defense,	86
The Division :	86
Govt. Print Off.,	86
Dept. of Housing and Urban Development, Office of Policy Development and Research : for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	85
National Defense University Press :	85
Environmental Protection Agency, Office of Research and Development, Municipal Environmental Research Laboratory ;	85
For sale by the Supt. of Docs. Congressional Sales Office, U.S. G.P.O.,	85
[U.S. G.P.O., Supt. of Docs., distributor],	85
Dept. of Agriculture, Forest Service, Rocky Mountain Forest and Range Experiment Station,	84
U.S. Dept. of Labor, Women's Bureau :	84
Congress of the United States, Congressional Budget Office,	83
National Aeronautics and Space Administration; [for sale by the National Technical Information Service, Springfield, Va.]	82
U.S. Dept. of Commerce, Social and Economic Statistics Administration, Bureau of the Census,	82
National Gallery of Art,	82
Divisions of Research & Statistics and Monetary Affairs, Federal Reserve Board,	81
The Center :	81
National Technical Information Service, distributor],	81
U.S. Dept. of Commerce, National Bureau of Standards : for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	81
The Administration :	80
National Institutes of Health, National Cancer Institute,	80
U.S. Govt. Printing Office,	80
The Corps,	80
