A 3	14	Agriculture
L 20	14	Labor Department
C 63	14	Commerce Department
D 10	14	Defense Department
LC 24	14	Library of Congress
LC 42	14	Library of Congress
FS 1	14	
I 24	13	Interior Department
LC 1016	13	Library of Congress
D 109	13	Defense Department
NA 1	13	
AA 4	13	
D 304	13	Defense Department
A 19	13	Agriculture
W 77	13	
PREX 15	13	Executive Office of the President
FS 4	13	
TD 12	12	Transportation Department
PREX 17	12	Executive Office of the President
W 2	12	
LC 40	12	Library of Congress
PREX 4	12	Executive Office of the President
C 58	12	Commerce Department
MC 1	12	
W 3	11	
FAA 1	11	
W 109	11	
T 34	11	Treasury Department
C 62	11	Commerce Department
TD 9	11	Transportation Department
D 302	10	Defense Department
LC 17	10	Library of Congress
PR 38	10	President of the United States
L 23	10	Labor Department
LC 25	10	Library of Congress
A 9	10	Agriculture
LC 5	10	Library of Congress
PREX 12	10	Executive Office of the President
EP 11	10	Environmental protection Agency
PR 30	10	President of the United States
JU 6	10	Judiciary
FMC 1	10	Federal Maritime Commission
EP 8	10	Environmental protection Agency
N 1	10	
A 108	9	Agriculture
FA 1	9	Fine Arts Commission
MS 2	9	Merit Systems Protection Board
HS 4	9	Homeland Security
LC 29	9	Library of Congress
PREX 20	9	Executive Office of the President
LGA 912	9	
HS 8	9	Homeland Security
SI 9	9	Smithsonian Institution
I 35	9	Interior Department
A 22	9	Agriculture
S 7	8	State Department
S 3	8	State Department
D 216	8	Defense Department
D 205	8	Defense Department
JU 2	8	Judiciary
L 39	8	Labor Department
W 79	8	
A 26	7	Agriculture
GS 11	7	General Services Administration
S 17	7	State Department
A 4	7	Agriculture
LC 6	7	Library of Congress
I 18	7	Interior Department
LC 35	7	Library of Congress
D 3	7	Defense Department
JU 11	7	Judiciary
C 40	7	Commerce Department
D 108	7	Defense Department
A 72	7	Agriculture
C 5	7	Commerce Department
T 71	7	Treasury Department
W 73	6	
ID 1	6	US Agency for International Development
I 21	6	Interior Department
D 212	6	Defense Department
HE 18	6	Health and Human Services Department
LC 43	6	Library of Congress
HH 7	6	Housing and Urban Development Department
HH 14	6	Housing and Urban Development Department
MN 1	6	
N 11	6	
JU 3	6	Judiciary
HS 7	6	Homeland Security
HH 2	6	Housing and Urban Development Department
FS 6	6	
FW 2	6	
CZ 1	6	
