784971579	m		CR 1.10:49	The Other side of the tracks [electronic resource] : a handbook on nondiscrimination in municipal services	[1974]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/22124945.html;"HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/2056659.html"
780726x	m		CR 1.10:5	Equal employment opportunity under federal law	1966	
1191683	m		CR 1.10:50	Making civil rights sense out of revenue sharing dollars	1975	
570613917	m		CR 1.10:50	Making civil rights sense out of revenue sharing dollars [electronic resource]	1975	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/1191683.html
1405059	m		CR 1.10:51	A better chance to learn, bilingual bicultural education	1975	
622831178	m		CR 1.10:51	A better chance to learn, bilingual bicultural education [electronic resource]	1975	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/1405059.html
2065409	m		CR 1.10:51/Spanish	Una mejor oportunidad para aprender : la educacion bilingue bicultural - a better chance to learn, bilingual bicultural education / la traduccion por Gladys E. Zeda	1975	
571122539	m		CR 1.10:51/Spanish	Una mejor oportunidad para aprender [electronic resource] : la educacion bilingue bicultural	1975	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/2065409.html
2065807	m		CR 1.10:52	A long day's journey into light : school desegregation in Prince George's County	1976	
2427625	m		CR 1.10:53	Using the Voting rights act	1976	
609658726	m		CR 1.10:53	Using the Voting rights act [electronic resource] / United States Commission on Civil Rights	1976	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/2427625.html
3369348	m		CR 1.10:54	Statement on affirmative action	1977	
4068626	m		CR 1.10:55	Toward equal educational opportunity : affirmative admissions programs at law and medical schools	1978	
784970084	m		CR 1.10:55	Toward equal educational opportunity [electronic resource] : affirmative admissions programs at law and medical schools	1978	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/4053919.html
4673592	m		CR 1.10:56	Statement on the equal rights amendment	1978	
5929915	m		CR 1.10:56/Spanish	Declaraciones relativas a la enmienda sobre igualdad de derechos/ Comision de Derechos Civiles de los Estados Unidos	1978 i.e. 1979	
643847318	m		CR 1.10:56/Spanish	Declaraciones relativas a la enmienda sobre igualdad de derechos [electronic resource] / Comision de Derechos Civiles de los Estados Unidos	1978 i.e. 1979	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/5929915.html
4866079	m		CR 1.10:57	Women rights in the United States of America : a report / prepared by the Women's Rights Task Force of the U.S. Department of Justice	1979	
5089901	m		CR 1.10:58	Toward an understanding of Bakke	1979	
562418733	m		CR 1.10:58	Toward an understanding of Bakke [electronic resource]	1979	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/5003633.html
5092506	m		CR 1.10:59	Getting Uncle Sam to enforce your civil rights / [written by Mary Elizabeth Hartley]	1979	
562826601	m		CR 1.10:59	Getting Uncle Sam to enforce your civil rights [electronic resource] / United States Commission on Civil Rights	[1979]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/5092506.html
6987481	m		CR 1.10:59/2	Getting Uncle Sam to enforce your civil rights / United States Commission on Civil Rights	1980	
624298817	m		CR 1.10:59/2	Getting Uncle Sam to enforce your civil rights [electronic resource] / United States Commission on Civil Rights	1980	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/6987481.html
64186337	m		CR 1.10:59/2003	Getting Uncle Sam to enforce your civil rights [electronic resource]	2003	http://purl.access.gpo.gov/GPO/LPS66805
228504634	m		CR 1.10:59/2007	Getting Uncle Sam to enforce your civil rights [electronic resource]	2007	http://purl.access.gpo.gov/GPO/LPS94541
918904098	m		CR 1.10:59/2014	Getting Uncle Sam to enforce your civil rights		http://purl.fdlp.gov/GPO/gpo60029
36654794	m		CR 1.10:59/996	Getting Uncle Sam to enforce your civil rights / [Barbara J. Brooks]	1996	
5807657	m		CR 1.10:59/Spanish	Logranso que el Tio Sam haga valer sus derechos civiles / Commission de Derechos Civiles de los Estados Unidos   [preparado por Mary Elizabeth Hartley]	1979	
567955510	m		CR 1.10:59/Spanish	Logrando que el Tio Sam haga valer sus derechos civiles [electronic resource] / Commission de Derechos Civiles de los Estados Unidos   [preparado por Mary Elizabeth Hartley]	1979	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/5807657.html
2224577x	m		CR 1.10:6	Federal rights under school desegregation law	1966	
5134022	m		CR 1.10:60	Women, still in poverty / United States Commission on Civil Rights	1979	
571019889	m		CR 1.10:60	Women still in poverty [electronic resource] / United States Commission on Civil Rights	1979	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/5134022.html
5958362	m		CR 1.10:61	Fair textbooks : resource guide	1979	
6374484	m		CR 1.10:62	Characters in textbooks : a review of the literature / [prepared by Jeana Wirtenberg, Robin Murez, and Rose Ann Alspektor]	1980	
6619819	m		CR 1.10:63	More hurdles to clear : women and girls in competitive athletics / [Bonnie Mathews, editor]	1980	
568657096	m		CR 1.10:63	More hurdles to clear [electronic resource] : women and girls in competitive athletics / United States Commission on Civil Rights	[1980]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/6619819.html
6804463	m		CR 1.10:64	Success of Asian Americans : fact or fiction?	1980	
569417207	m		CR 1.10:64	Success of Asian Americans [electronic resource] : fact or fiction?	1980	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/6804463.html
7124035	m		CR 1.10:65	Affirmative action in the 1980s : dismantling the process of discrimination : a proposed statementof the United States Commission on Civil Rights	1981	
644245439	m		CR 1.10:65	Affirmative action in the 1980s [electronic resource] : dismantling the process of discrimination : a proposed statement of the United States Commission on Civil Rights	1981	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/7124035.html
7364036	m		CR 1.10:66	The black/white colleges : dismantling the dual system of higher education / [written by Carole A. Williams]	1981	Table of contents http://www.loc.gov/catdir/toc/fy0802/2007467084.html;"Unedited summary from book http://www.loc.gov/catdir/summary/eng0801/2007467084.html"
67617083	m		CR 1.10:66	The black/white colleges [electronic resource] : dismantling the dual system of higher education / [written by Carole A. Williams]	1981	http://www.law.umaryland.edu/marshall/usccr/documents/cr11066.pdf
557773769	m		CR 1.10:66	The black/white colleges [electronic resource] : dismantling the dual system of higher education / [written by Carole A. Williams]	1981	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/7364036.html
7629025	m		CR 1.10:67	Child care and equal opportunity for women	1981	
557550601	m		CR 1.10:67	Child care and equal opportunity for women [electronic resource]	1981	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/7629025.html
7515764	m		CR 1.10:68	The Equal Rights Amendment : guaranteeing equal rights for women under the Constitution	1981	
